"";"Q.h1";"Q.h2";"Q.h3";"Q.h4";"Q.h5";"Q.h6"
"M_1";1;1;0;0;0;0
"M_2";0;0;0;0;0;0
"M_3";0;0;1;0;0;0
"M_4";0;0;0;1;0;0
"M_5";0;0;0;0;0;0
"M_6";0;0;0;0;0;0
"M_7";0;0;1;0;0;0
"M_8";1;1;0;0;1;1
"M_9";0;0;0;0;0;0
"M_10";1;0;1;1;0;0
"M_11";0;0;0;0;0;0
"M_12";0;0;1;0;0;0
"M_13";0;1;1;1;0;0
"M_14";0;0;0;0;0;0
"M_15";0;0;0;0;0;0
"M_16";0;0;0;1;0;0
"M_17";0;0;1;0;0;0
"M_18";0;0;1;0;0;0
"M_19";0;1;0;0;0;0
"M_20";0;0;1;0;0;0
"M_21";0;0;0;1;0;0
"M_22";1;0;0;0;1;1
"M_23";0;0;0;0;0;0
"M_24";0;0;0;0;0;0
"M_25";0;0;1;0;0;0
"M_26";0;0;0;0;0;0
"M_27";1;1;0;0;0;0
"M_28";0;0;0;1;0;0
"M_29";0;0;0;1;0;0
"M_30";0;1;1;0;0;0
"M_31";0;1;1;0;0;0
"M_32";0;0;0;1;0;0
"M_33";0;0;0;0;0;0
"M_34";1;0;0;0;0;0
"M_35";0;0;0;0;0;0
"M_36";0;0;1;0;0;0
"M_37";0;0;0;1;0;0
"M_38";0;1;0;0;0;0
"M_39";0;0;0;0;0;0
"M_40";1;0;0;0;0;0
"M_41";0;0;0;0;0;0
"M_42";0;0;0;0;0;0
"M_43";0;0;0;0;0;0
"M_44";0;0;1;0;0;0
"M_45";0;0;1;0;0;0
"M_46";0;1;0;0;0;0
"M_47";1;0;0;0;0;0
"M_48";0;1;0;0;0;0
"M_49";0;0;0;1;0;0
"M_50";0;0;1;0;0;0
"M_51";0;0;0;1;0;0
"M_52";0;0;0;0;0;0
"M_53";0;0;1;0;0;0
"M_54";1;0;0;0;0;0
"M_55";0;0;0;0;0;0
"M_56";0;1;0;1;0;1
"M_57";0;1;0;0;0;0
"M_58";0;0;0;0;0;0
"M_59";1;0;0;0;0;0
"M_60";1;0;0;0;0;0
"M_61";0;0;0;0;0;0
"M_62";0;0;1;0;1;0
"M_63";1;0;0;0;0;0
"M_64";0;0;0;0;0;0
"M_65";0;0;0;0;0;0
"M_66";1;0;0;0;0;0
"M_67";0;1;0;0;0;0
"M_68";0;0;0;0;0;0
"M_69";0;0;1;0;1;0
"M_70";0;0;0;0;0;0
"M_71";1;0;0;0;0;0
"M_72";0;0;0;0;0;0
"M_73";0;0;0;0;1;1
"M_74";0;0;1;0;0;0
"M_75";1;0;0;1;0;1
"M_76";0;0;0;1;0;1
"M_77";0;0;0;1;0;0
"M_78";0;0;0;1;0;0
"M_79";0;0;0;0;0;0
"M_80";1;0;0;0;0;0
"M_81";1;0;0;1;0;0
"M_82";0;0;0;0;0;0
"M_83";0;0;0;0;0;0
"M_84";0;0;0;0;0;0
"M_85";0;0;1;0;1;0
"M_86";1;0;0;0;0;1
"M_87";0;0;0;1;0;0
"M_88";0;0;1;0;1;0
"M_89";0;0;1;0;1;0
"M_90";1;1;0;1;0;0
"M_91";0;0;1;0;1;1
"M_92";1;0;0;0;0;1
"M_93";0;0;0;0;0;0
"M_94";0;1;0;0;0;0
"M_95";0;0;0;0;0;1
"M_96";0;0;0;0;0;0
"M_97";0;0;1;0;1;0
"M_98";0;0;0;1;0;0
"M_99";1;0;1;0;1;0
"M_100";0;0;0;0;0;0
"M_101";0;0;0;0;0;1
"M_102";0;0;0;0;0;0
"M_103";1;1;1;0;1;0
"M_104";0;0;0;1;0;0
"M_105";0;0;0;0;0;0
"M_106";1;1;0;0;0;0
"M_107";0;1;1;0;1;0
"M_108";0;0;0;0;0;0
"M_109";0;0;1;0;1;0
"M_110";0;0;0;0;0;0
"M_111";0;0;0;1;0;0
"M_112";0;1;0;0;0;0
"M_113";0;0;0;0;0;0
"M_114";0;0;1;1;1;0
"M_115";0;0;0;0;0;0
"M_116";0;0;0;1;0;0
"M_117";0;1;0;0;0;0
"M_118";0;0;0;1;0;0
"M_119";0;0;0;0;0;0
"M_120";0;0;0;1;0;0
"M_121";0;0;0;0;0;0
"M_122";0;0;1;0;1;0
"M_123";0;0;0;1;0;0
"M_124";1;0;1;0;1;0
"M_125";1;0;0;1;0;0
"M_126";0;1;0;0;0;1
"M_127";0;0;0;0;0;1
"M_128";0;0;0;0;0;1
"M_129";1;0;0;0;0;0
"M_130";0;0;0;1;0;0
"M_131";1;0;0;1;0;0
"M_132";0;0;0;1;0;0
"M_133";0;0;1;0;1;0
"M_134";0;1;0;0;0;1
"M_135";0;0;1;0;1;0
"M_136";0;0;1;0;1;0
"M_137";0;0;0;1;0;0
"M_138";0;0;0;0;0;0
"M_139";0;0;0;0;0;0
"M_140";0;1;0;0;0;0
"M_141";0;0;0;0;0;0
"M_142";0;0;0;0;0;0
"M_143";0;1;0;0;0;0
"M_144";0;0;0;0;0;0
"M_145";0;0;0;0;0;0
"M_146";1;0;1;0;1;0
"M_147";0;0;0;0;0;1
"M_148";1;0;1;0;1;0
"M_149";0;0;0;1;0;0
"M_150";1;0;0;0;0;0
"M_151";0;0;0;0;0;0
"M_152";0;0;1;0;0;0
"M_153";0;0;0;0;0;0
"M_154";1;0;0;0;0;0
"M_155";0;0;1;0;0;0
"M_156";0;1;1;0;0;0
"M_157";0;0;0;0;0;1
"M_158";0;0;0;0;0;0
"M_159";0;0;0;0;1;1
"M_160";1;0;0;0;0;0
"M_161";1;0;0;0;0;0
"M_162";0;0;0;0;1;0
"M_163";0;0;0;1;0;0
"M_164";0;1;1;0;0;0
"M_165";0;0;0;0;0;0
"M_166";0;0;0;0;0;0
"M_167";0;0;0;0;0;0
"M_168";0;0;0;0;0;0
"M_169";0;0;0;0;0;0
"M_170";1;0;1;0;0;0
"M_171";1;0;0;0;0;0
"M_172";0;0;0;1;0;0
"M_173";0;0;0;0;0;0
"M_174";0;0;0;0;0;0
"M_175";1;0;0;0;0;0
"M_176";0;0;0;0;0;1
"M_177";1;0;0;1;0;0
"M_178";0;0;1;0;0;0
"M_179";0;0;0;0;0;1
"M_180";0;0;0;0;0;0
"M_181";1;0;0;0;0;0
"M_182";0;0;1;0;0;0
"M_183";0;1;1;0;0;0
"M_184";0;0;0;0;0;0
"M_185";0;0;0;0;0;0
"M_186";0;0;0;0;0;0
"M_187";0;1;1;0;0;0
"M_188";0;0;0;0;0;0
"M_189";1;0;0;0;0;0
"M_190";0;0;0;0;0;0
"M_191";1;0;0;1;0;0
"M_192";0;1;1;0;0;1
"M_193";0;1;0;1;1;1
"M_194";0;0;0;0;0;0
"M_195";0;0;0;0;0;1
"M_196";0;0;0;1;0;0
"M_197";0;0;0;0;0;1
"M_198";0;1;0;0;0;0
"M_199";0;0;0;0;0;0
"M_200";0;0;0;0;0;0
"M_201";0;0;0;0;0;1
"M_202";1;0;0;0;0;0
"M_203";0;1;0;1;1;1
"M_204";0;0;0;1;0;0
"M_205";0;0;0;0;0;0
"M_206";0;0;0;1;0;0
"M_207";0;0;0;0;0;0
"M_208";0;0;0;0;0;1
"M_209";1;0;0;0;0;0
"M_210";0;1;0;0;1;1
"M_211";0;0;0;0;0;1
"M_212";1;0;0;0;0;0
"M_213";0;0;0;0;0;0
"M_214";0;0;1;0;0;0
"M_215";0;0;0;0;0;0
"M_216";1;0;1;0;1;0
"M_217";0;0;0;0;0;1
"M_218";0;0;1;0;0;1
"M_219";0;1;0;0;0;0
"M_220";0;0;0;0;0;1
"M_221";0;0;0;0;0;1
"M_222";0;1;0;0;0;0
"M_223";0;0;0;0;1;0
"M_224";0;1;0;0;1;0
"M_225";0;1;0;0;1;0
"M_226";0;0;0;0;0;1
"M_227";0;0;0;1;0;0
"M_228";0;1;0;0;0;0
"M_229";0;0;0;0;0;0
"M_230";0;1;0;0;0;0
"M_231";0;0;0;1;0;0
"M_232";0;0;0;0;0;1
"M_233";0;1;0;0;0;0
"M_234";0;0;1;0;0;0
"M_235";0;0;0;0;0;0
"M_236";0;0;1;0;0;0
"M_237";0;0;0;1;1;0
"M_238";0;0;0;0;0;0
"M_239";0;0;0;0;0;1
"M_240";0;0;0;0;0;0
"M_241";0;0;0;0;0;0
"M_242";1;0;0;0;0;0
"M_243";0;0;0;0;0;0
"M_244";0;0;1;0;1;1
"M_245";0;0;1;0;1;0
"M_246";0;0;1;0;0;1
"M_247";0;0;0;0;0;1
"M_248";0;1;0;0;1;0
"M_249";0;1;0;0;1;0
"M_250";0;1;0;0;1;0
"M_251";0;0;0;0;0;0
"M_252";0;0;1;0;0;0
"M_253";0;1;0;0;0;1
"M_254";0;0;1;0;0;0
"M_255";1;0;1;0;0;0
"M_256";1;0;0;0;0;0
"M_257";0;0;0;0;0;0
"M_258";0;0;0;0;0;0
"M_259";1;0;0;0;0;0
"M_260";0;0;0;0;0;0
"M_261";0;0;0;1;0;0
"M_262";0;0;0;1;0;0
"M_263";0;1;0;1;0;0
"M_264";0;1;0;0;0;0
"M_265";0;0;0;0;1;1
"M_266";0;0;1;1;0;0
"M_267";0;0;1;0;0;0
"M_268";0;0;0;0;0;0
"M_269";0;0;0;0;0;0
"M_270";0;0;0;1;0;0
"M_271";0;0;1;0;0;0
"M_272";0;0;0;0;0;1
"M_273";0;0;0;1;0;0
"M_274";0;0;0;0;0;1
"M_275";0;1;0;0;0;0
"M_276";0;0;0;0;0;0
"M_277";0;0;0;0;0;0
"M_278";0;0;0;0;0;0
"M_279";0;0;1;1;0;0
"M_280";0;0;0;0;0;0
"M_281";1;0;0;0;0;0
"M_282";0;0;1;1;1;0
"M_283";0;0;0;0;0;0
"M_284";0;0;0;0;0;0
"M_285";0;1;0;0;0;0
"M_286";0;0;0;1;0;0
"M_287";0;1;0;0;0;0
"M_288";0;0;0;1;0;0
"M_289";0;1;0;0;0;0
"M_290";0;0;0;0;0;0
"M_291";0;0;1;0;1;0
"M_292";0;1;0;0;0;0
"M_293";0;0;1;0;0;0
"M_294";0;0;0;0;0;0
"M_295";0;0;0;0;0;1
"M_296";0;0;1;0;0;0
"M_297";0;0;0;0;0;0
"M_298";0;1;0;0;0;0
"M_299";0;0;1;1;1;0
"M_300";0;1;0;0;0;0
"M_301";0;0;0;0;0;1
"M_302";1;0;0;0;0;1
"M_303";0;0;0;0;0;1
"M_304";0;0;0;1;0;0
"M_305";0;0;0;0;1;0
"M_306";0;0;0;0;0;0
"M_307";0;0;0;0;0;0
"M_308";0;1;0;0;0;0
"M_309";0;0;1;0;0;1
"M_310";0;1;1;0;0;0
"M_311";0;0;1;0;0;0
"M_312";0;0;1;0;0;0
"M_313";0;1;0;0;0;0
"M_314";0;1;0;0;0;0
"M_315";0;0;1;0;0;0
"M_316";0;0;1;0;0;0
"M_317";0;0;0;0;0;1
"M_318";1;0;0;0;1;0
"M_319";0;0;0;0;0;0
"M_320";0;1;0;0;0;0
"M_321";0;1;0;0;0;1
"M_322";0;1;0;0;0;0
"M_323";0;1;0;0;0;0
"M_324";0;1;1;0;0;1
"M_325";0;0;0;0;0;1
"M_326";0;0;1;0;0;0
"M_327";0;0;0;0;0;0
"M_328";1;0;0;0;1;0
"M_329";0;0;0;0;0;0
"M_330";0;0;0;1;0;0
"M_331";0;0;0;1;0;0
"M_332";0;0;0;0;0;0
"M_333";0;0;0;0;0;0
"M_334";0;1;0;0;0;0
"M_335";0;1;0;0;0;0
"M_336";0;0;1;0;0;0
"M_337";0;0;0;0;0;1
"M_338";0;0;0;0;0;0
"M_339";0;1;0;0;0;1
"M_340";0;0;1;0;0;0
"M_341";0;0;0;1;0;0
"M_342";0;0;0;0;0;0
"M_343";0;0;0;0;0;0
"M_344";0;0;0;0;0;1
"M_345";0;0;1;0;0;0
"M_346";1;0;0;1;1;0
"M_347";0;0;1;0;0;0
"M_348";0;0;1;0;0;0
"M_349";0;0;0;1;0;0
"M_350";0;0;0;0;0;1
"M_351";0;0;1;0;0;0
"M_352";0;0;0;1;0;0
"M_353";0;0;0;0;0;0
"M_354";0;0;0;1;0;0
"M_355";0;0;0;0;0;0
"M_356";0;0;0;0;0;0
"M_357";0;0;0;1;0;0
"M_358";0;1;0;0;0;0
"M_359";0;0;0;0;0;0
"M_360";0;0;0;0;0;0
"M_361";0;0;1;0;0;0
"M_362";0;1;0;0;0;0
"M_363";0;0;0;1;0;1
"M_364";0;0;0;0;0;0
"M_365";0;0;0;0;0;0
"M_366";0;0;0;0;0;1
"M_367";0;0;0;0;0;0
"M_368";0;0;0;0;0;0
"M_369";0;0;0;1;0;0
"M_370";1;0;1;0;1;0
"M_371";0;0;0;0;0;0
"M_372";0;0;1;0;0;0
"M_373";0;0;0;0;0;0
"M_374";1;0;0;0;1;0
"M_375";0;0;0;1;0;0
"M_376";0;0;0;0;0;0
"M_377";0;1;0;0;0;0
"M_378";0;1;0;0;0;0
"M_379";0;1;0;0;0;0
"M_380";0;1;0;1;0;0
"M_381";0;0;0;0;0;0
"M_382";0;0;0;0;0;0
"M_383";0;0;0;0;0;0
"M_384";0;1;0;0;0;0
"M_385";0;0;0;0;0;0
"M_386";0;0;0;0;0;0
"M_387";0;0;0;0;0;0
"M_388";0;1;0;0;0;0
"M_389";0;0;1;0;0;0
"M_390";0;0;0;0;0;0
"M_391";0;0;0;1;0;0
"M_392";0;0;0;0;0;0
"M_393";0;0;1;1;0;0
"M_394";0;0;1;1;0;0
"M_395";0;0;0;0;0;0
"M_396";1;0;0;0;1;0
"M_397";0;0;0;0;0;0
"M_398";1;0;1;0;1;0
"M_399";0;0;0;0;0;0
"M_400";0;0;0;0;0;0
"M_401";0;0;1;0;0;0
"M_402";0;0;0;0;0;0
"M_403";0;0;1;0;0;0
"M_404";0;0;1;0;0;0
"M_405";0;0;0;0;0;0
"M_406";0;0;0;0;0;0
"M_407";0;0;0;0;0;1
"M_408";1;1;0;0;1;0
"M_409";1;0;1;1;1;0
"M_410";1;0;1;0;1;0
"M_411";0;0;0;0;0;0
"M_412";0;0;0;0;0;0
"M_413";0;1;0;0;0;0
"M_414";0;1;0;1;0;1
"M_415";1;0;1;0;1;0
"M_416";1;0;0;0;1;0
"M_417";0;0;0;1;0;0
"M_418";0;0;1;0;0;0
"M_419";0;1;0;1;0;0
"M_420";0;1;0;0;0;0
"M_421";0;0;0;0;0;0
"M_422";0;0;0;0;0;0
"M_423";1;0;1;0;1;1
"M_424";0;0;0;0;0;0
"M_425";0;0;0;0;0;0
"M_426";0;0;0;0;0;0
"M_427";0;0;0;1;0;0
"M_428";0;0;0;0;0;1
"M_429";0;1;0;0;0;0
"M_430";0;0;0;0;0;0
"M_431";0;0;0;0;0;0
"M_432";0;0;0;0;0;0
"M_433";0;0;0;0;0;0
"M_434";0;0;0;0;0;0
"M_435";1;0;0;1;1;0
"M_436";0;0;0;1;0;0
"M_437";0;0;1;0;0;0
"M_438";0;0;1;1;0;1
"M_439";1;0;0;0;1;0
"M_440";0;0;0;0;0;0
"M_441";0;0;0;0;0;1
"M_442";0;1;0;0;0;0
"M_443";0;0;0;1;0;1
"M_444";1;1;1;1;1;0
"M_445";0;0;0;0;0;0
"M_446";0;0;0;1;0;1
"M_447";0;0;1;0;0;0
"M_448";0;1;0;0;0;0
"M_449";0;0;1;0;0;0
"M_450";0;0;0;0;0;1
"M_451";0;0;0;0;0;1
"M_452";1;0;0;0;1;0
"M_453";0;0;0;0;0;1
"M_454";0;0;0;0;0;0
"M_455";0;1;0;1;0;1
"M_456";0;1;0;1;0;1
"M_457";0;0;1;1;0;0
"M_458";0;0;0;0;0;1
"M_459";0;0;0;0;0;1
"M_460";0;0;0;0;0;1
"M_461";0;1;0;0;0;0
"M_462";0;0;0;1;0;0
"M_463";1;1;0;0;0;0
"M_464";0;1;0;0;0;0
"M_465";1;0;0;0;0;0
"M_466";0;0;0;1;0;0
"M_467";0;1;0;0;0;0
"M_468";0;0;0;0;0;0
"M_469";0;0;0;0;0;0
"M_470";0;0;0;1;0;0
"M_471";0;0;1;1;0;1
"M_472";0;1;0;0;0;0
"M_473";0;0;0;0;0;0
"M_474";0;0;0;1;0;0
"M_475";0;0;0;0;0;0
"M_476";0;0;0;1;0;0
"M_477";0;1;1;0;0;0
"M_478";1;0;0;1;1;1
"M_479";0;0;0;0;0;0
"M_480";0;1;1;1;0;0
"M_481";0;0;0;0;0;0
"M_482";0;0;1;0;0;0
"M_483";0;0;0;0;0;0
"M_484";0;0;0;0;0;1
"M_485";0;0;0;0;0;0
"M_486";0;0;0;0;0;0
"M_487";1;0;1;0;0;0
"M_488";1;0;0;0;0;0
"M_489";0;1;1;0;0;1
"M_490";0;0;0;1;0;0
"M_491";0;0;0;0;1;1
"M_492";1;0;0;0;0;0
"M_493";1;0;0;0;0;1
"M_494";1;0;0;0;0;0
"M_495";1;0;0;0;0;0
"M_496";0;0;0;0;0;0
"M_497";0;0;1;0;0;0
"M_498";0;0;0;0;0;0
"M_499";0;0;0;0;0;1
"M_500";0;0;0;0;0;0
"M_501";1;0;0;0;1;0
"M_502";0;0;0;0;0;0
"M_503";1;0;1;1;1;0
"M_504";0;0;0;0;0;1
"M_505";0;1;0;1;0;0
"M_506";0;0;0;1;0;0
"M_507";0;0;0;0;0;0
"M_508";0;0;0;0;0;0
"M_509";0;0;0;0;0;0
"M_510";0;0;0;0;0;0
"M_511";0;0;0;0;0;0
"M_512";0;1;0;1;0;0
"M_513";0;0;0;0;0;0
"M_514";0;0;0;0;0;1
"M_515";0;0;0;0;0;0
"M_516";0;0;0;0;0;0
"M_517";0;0;0;0;0;0
"M_518";0;0;0;1;0;0
"M_519";0;0;0;0;0;1
"M_520";0;0;1;0;1;0
"M_521";0;0;1;0;0;0
"M_522";0;0;0;1;0;0
"M_523";0;0;0;1;0;0
"M_524";0;0;0;0;0;0
"M_525";0;0;0;0;0;0
"M_526";0;0;0;0;0;1
"M_527";0;0;1;0;0;0
"M_528";0;0;0;0;0;0
"M_529";0;0;0;0;0;1
"M_530";0;0;1;0;0;0
"M_531";1;1;0;0;0;0
"M_532";0;0;0;0;0;0
"M_533";0;0;0;0;1;1
"M_534";0;0;0;1;0;0
"M_535";0;0;0;0;0;1
"M_536";0;0;0;1;0;0
"M_537";0;0;0;1;0;0
"M_538";0;0;0;1;0;0
"M_539";0;0;0;0;0;0
"M_540";1;1;0;0;0;0
"M_541";1;1;0;0;0;0
"M_542";1;1;0;0;0;1
"M_543";0;0;0;0;0;1
"M_544";0;0;0;0;0;0
"M_545";0;0;0;0;0;0
"M_546";0;0;0;0;0;1
"M_547";1;1;1;0;1;0
"M_548";0;0;0;0;0;0
"M_549";0;0;0;0;0;0
"M_550";1;1;1;0;0;0
"M_551";1;1;0;0;0;0
"M_552";0;0;0;0;0;0
"M_553";1;1;0;0;1;0
"M_554";0;0;0;0;0;0
"M_555";0;0;0;0;0;1
"M_556";0;0;0;0;0;1
"M_557";1;1;0;0;0;0
"M_558";0;0;0;0;0;1
"M_559";0;0;0;0;0;1
"M_560";0;0;0;0;0;0
"M_561";0;0;0;1;0;0
"M_562";1;1;1;0;0;0
"M_563";0;0;0;0;0;0
"M_564";0;0;1;0;0;0
"M_565";0;0;0;0;0;0
"M_566";0;0;0;1;0;0
"M_567";0;0;0;0;0;0
"M_568";0;0;0;1;0;0
"M_569";0;0;0;0;0;1
"M_570";0;0;0;0;0;0
"M_571";0;0;0;0;1;1
"M_572";1;1;0;0;0;0
"M_573";1;1;0;0;0;0
"M_574";0;0;0;1;0;1
"M_575";0;0;0;0;0;0
"M_576";1;1;0;0;1;0
"M_577";0;0;1;0;0;1
"M_578";0;0;0;1;0;0
"M_579";1;1;0;0;0;0
"M_580";0;0;0;0;0;0
"M_581";0;0;1;0;0;0
"M_582";1;1;1;0;0;0
"M_583";1;1;0;0;1;0
"M_584";0;0;0;0;0;0
"M_585";0;0;0;1;0;0
"M_586";0;0;0;0;0;0
"M_587";0;0;0;1;0;0
"M_588";0;0;0;0;1;0
"M_589";0;0;0;0;0;1
"M_590";0;0;0;1;0;0
"M_591";0;0;0;0;0;0
"M_592";1;1;0;0;0;1
"M_593";1;1;0;0;0;0
"M_594";0;0;0;1;0;0
"M_595";0;0;0;1;0;0
"M_596";0;0;0;1;1;1
"M_597";0;0;1;1;1;0
"M_598";0;0;0;0;0;1
"M_599";0;0;0;0;0;0
"M_600";1;1;0;0;1;0
"M_601";0;0;0;1;0;0
"M_602";1;1;1;0;0;0
"M_603";0;0;1;0;0;0
"M_604";1;0;0;0;1;0
"M_605";1;0;0;0;0;0
"M_606";0;1;0;0;0;0
"M_607";0;0;1;0;0;0
"M_608";0;1;0;0;0;0
"M_609";0;0;1;0;0;1
"M_610";0;0;0;0;0;0
"M_611";0;1;0;0;0;0
"M_612";0;1;0;1;0;0
"M_613";0;0;0;0;0;0
"M_614";0;0;0;0;0;1
"M_615";0;0;0;1;0;0
"M_616";0;0;0;1;0;0
"M_617";0;0;0;0;0;0
"M_618";0;0;0;0;0;0
"M_619";1;0;0;0;1;0
"M_620";0;1;0;0;0;0
"M_621";0;0;0;0;0;0
"M_622";1;0;0;0;0;0
"M_623";0;0;1;0;0;0
"M_624";1;0;0;0;0;0
"M_625";0;0;0;0;0;0
"M_626";0;0;1;0;0;0
"M_627";0;0;1;0;0;0
"M_628";0;0;0;0;0;1
"M_629";1;0;0;0;1;0
"M_630";0;0;1;0;1;0
"M_631";0;0;0;0;0;0
"M_632";0;0;0;1;0;0
"M_633";0;0;0;0;0;1
"M_634";0;0;0;1;0;0
"M_635";0;0;0;0;1;0
"M_636";0;0;0;0;0;1
"M_637";0;0;0;0;0;1
"M_638";1;0;0;0;0;1
"M_639";0;1;0;0;0;0
"M_640";1;0;0;0;0;0
"M_641";0;1;1;0;0;0
"M_642";0;0;1;0;0;0
"M_643";1;0;0;1;0;0
"M_644";0;0;1;0;0;0
"M_645";0;0;0;0;0;0
"M_646";0;0;0;0;0;0
"M_647";1;0;1;0;0;1
"M_648";0;0;0;0;0;0
"M_649";0;1;0;1;0;0
"M_650";0;0;0;0;0;0
"M_651";0;1;1;0;0;0
"M_652";0;0;0;0;0;0
"M_653";0;0;0;1;0;0
"M_654";0;1;0;0;0;0
"M_655";0;0;1;0;0;0
"M_656";0;0;0;0;0;0
"M_657";0;0;0;0;0;1
"M_658";1;0;0;0;0;0
"M_659";1;0;0;0;0;0
"M_660";0;0;0;0;0;0
"M_661";0;0;0;1;0;0
"M_662";0;0;0;0;0;0
"M_663";1;0;0;0;1;0
"M_664";1;0;0;0;1;0
"M_665";0;0;0;0;0;0
"M_666";0;0;0;0;1;0
"M_667";1;0;0;0;0;0
"M_668";0;1;0;0;0;0
"M_669";0;0;0;1;0;0
"M_670";0;0;0;1;0;0
"M_671";0;0;0;0;0;0
"M_672";0;0;0;0;0;0
"M_673";0;0;0;0;0;0
"M_674";0;0;0;0;0;0
"M_675";0;0;0;0;1;0
"M_676";0;0;0;0;1;0
"M_677";0;0;0;0;0;0
"M_678";0;0;0;0;0;0
"M_679";0;0;0;0;0;0
"M_680";0;0;0;0;0;0
"M_681";0;0;0;1;0;0
"M_682";0;0;0;0;0;0
"M_683";0;0;0;0;0;0
"M_684";0;0;0;0;0;0
"M_685";0;0;0;0;0;1
"M_686";0;1;0;0;0;0
"M_687";0;1;0;0;0;0
"M_688";0;0;0;0;0;0
"M_689";0;0;0;0;0;0
"M_690";0;0;0;0;0;0
"M_691";0;0;0;0;0;0
"M_692";0;0;0;0;0;0
"M_693";0;0;0;0;0;0
"M_694";1;0;1;1;0;1
"M_695";0;0;0;0;1;0
"M_696";0;1;1;1;0;1
"M_697";0;0;0;0;0;1
"M_698";0;1;0;0;0;0
"M_699";0;0;0;0;0;0
"M_700";0;0;0;0;0;0
"M_701";0;0;0;0;0;0
"M_702";0;0;0;0;0;1
"M_703";0;0;0;0;0;1
"M_704";0;0;0;0;0;1
"M_705";0;0;0;0;0;0
"M_706";0;0;0;0;0;0
"M_707";0;0;0;0;0;1
"M_708";0;0;0;0;0;1
"M_709";0;0;0;0;0;0
"M_710";0;0;0;0;0;0
"M_711";0;0;0;0;1;0
"M_712";0;0;0;0;0;0
"M_713";0;0;0;0;0;0
"M_714";0;0;0;0;0;0
"M_715";0;0;0;0;0;0
"M_716";1;0;1;0;0;0
"M_717";0;0;0;0;0;0
"M_718";0;0;0;0;0;0
"M_719";1;0;0;0;0;0
"M_720";0;0;0;0;0;0
"M_721";0;0;0;1;0;0
"M_722";1;0;1;0;0;0
"M_723";0;0;0;0;0;0
"M_724";0;0;0;0;0;0
"M_725";0;1;0;0;0;1
"M_726";0;0;1;0;0;0
"M_727";0;0;0;0;0;0
"M_728";1;0;1;0;0;0
"M_729";0;0;0;0;0;0
"M_730";0;0;0;0;0;0
"M_731";1;1;0;0;0;1
"M_732";0;0;0;0;0;0
"M_733";0;0;0;0;0;0
"M_734";0;0;0;0;0;1
"M_735";0;0;0;0;0;0
"M_736";1;0;1;0;0;0
"M_737";0;0;0;1;1;0
"M_738";0;0;0;0;0;0
"M_739";0;1;0;0;0;0
"M_740";0;0;0;0;1;1
"M_741";0;0;1;0;0;0
"M_742";0;0;0;0;0;1
"M_743";0;0;1;0;0;0
"M_744";0;0;1;0;0;0
"M_745";0;0;1;0;0;0
"M_746";0;0;0;0;0;0
"M_747";0;0;0;0;0;0
"M_748";0;0;0;0;0;0
"M_749";0;0;1;0;0;0
"M_750";0;0;0;0;0;0
"M_751";0;0;1;0;0;0
"M_752";0;0;1;0;0;0
"M_753";1;1;0;0;1;1
"M_754";0;0;0;1;0;0
"M_755";0;0;0;0;0;0
"M_756";0;0;0;0;0;0
"M_757";0;0;0;1;0;0
"M_758";0;1;0;0;1;0
"M_759";0;0;0;0;0;0
"M_760";0;0;0;0;0;0
"M_761";0;0;0;0;0;0
"M_762";0;0;0;0;0;0
"M_763";0;0;0;0;0;0
"M_764";0;0;0;0;0;0
